NISN,Nama_Lengkap,Jenis_Kelamin,Usia,Kelas,Jurusan,Kehadiran_Persen,Rata_Nilai,Jumlah_Remedial,Peringkat_Kelas,Pernah_Tinggal_Kelas,Surat_Peringatan,Status_Ekstrakurikuler,Siswa_Bekerja,Status_Ortu,Jumlah_Saudara,Pendidikan_Tertinggi_Ortu,Pekerjaan_Ayah,Pekerjaan_Ibu,Penghasilan_Keluarga_Bulan,Pengeluaran_Keluarga_Bulan,Kepemilikan_Rumah,Kondisi_Rumah,Akses_Listrik,Sumber_Air_Bersih,Jarak_Ke_Sekolah_KM,Moda_Transportasi,Akses_Internet,Terdaftar_DTKS,Penerima_KIP,Penerima_PKH,Status_BPJS,Bantuan_Lokal_Daerah,Skor_Risiko,Status_Risiko,Skor_Kelayakan_Bansos,Kelayakan_Bansos,Rekomendasi_Bansos
3746317213,Doni Pratama,Laki-laki,18,12,Kejuruan,93,83,0,13,0,0,Aktif,0,Lengkap,0,SD,Petani,Buruh Harian,2700000,2850000,Sewa/Kontrak,Semi Permanen,Nebeng Tetangga,Sumur Pompa,0.4,Motor Pribadi,Paket Data,0,0,0,Tidak Punya,0,2,Rendah,3,Perlu Ditinjau,Verifikasi Lapangan
9697354961,Salsa Pratama,Perempuan,14,7,-,83,67,1,17,0,0,Tidak Aktif,0,Cerai,1,SMP,Pedagang,Pedagang,2100000,1600000,Milik Sendiri,Semi Permanen,PLN Mandiri,Sumur Pompa,4.4,Motor Pribadi,Wifi Rumah,1,1,1,Tidak Punya,1,5,Sedang,4,Perlu Ditinjau,Verifikasi Lapangan
2181241943,Andi Nugroho,Perempuan,13,7,-,79,69,2,13,0,0,Tidak Aktif,0,Lengkap,0,SMP,Buruh Harian,PNS,3900000,3050000,Numpang Keluarga,Semi Permanen,PLN Mandiri,Sumur Pompa,3.5,Angkutan Umum,Paket Data,0,0,0,Mandiri Kelas 2/1,0,3,Rendah,2,Perlu Ditinjau,Verifikasi Lapangan
1958682846,Reni Kurniawan,Perempuan,13,7,-,84,66,1,17,0,0,Aktif,0,Lengkap,0,SD,Buruh Harian,PNS,2300000,2200000,Milik Sendiri,Permanen,PLN Subsidi (450VA/900VA),Sungai/Tadah Hujan,1.7,Motor Pribadi,Tidak Ada,0,0,0,Tidak Punya,0,5,Sedang,2,Perlu Ditinjau,Verifikasi Lapangan
4163119785,Indah Situmorang,Laki-laki,17,11,IPA,81,76,1,12,0,0,Aktif,0,Lengkap,0,D3/S1,Karyawan Swasta,PNS,1900000,1750000,Sewa/Kontrak,Permanen,PLN Mandiri,Sumur Pompa,0.7,Diantar Ortu,Wifi Rumah,0,0,0,Tidak Punya,0,2,Rendah,4,Perlu Ditinjau,Verifikasi Lapangan
9963334018,Rizky Lubis,Laki-laki,16,10,IPS,87,62,2,25,1,0,Tidak Aktif,1,Lengkap,1,SMA/SMK,Petani,Ibu Rumah Tangga,1000000,1100000,Milik Sendiri,Tidak Layak Huni,PLN Mandiri,Sumur Pompa,5.3,Sepeda,Wifi Rumah,1,1,0,Mandiri Kelas 2/1,0,12,Tinggi,8,Sangat Layak,PKH Prioritas
2812140441,Fajar Kusuma,Laki-laki,16,11,IPS,70,84,1,8,0,3,Tidak Aktif,0,Lengkap,2,SD,Wiraswasta,Ibu Rumah Tangga,2300000,2400000,Numpang Keluarga,Permanen,PLN Subsidi (450VA/900VA),Sungai/Tadah Hujan,2.4,Motor Pribadi,Tidak Ada,0,0,0,PBI (Gratis),0,5,Sedang,2,Perlu Ditinjau,Verifikasi Lapangan
1127978094,Citra Kusuma,Perempuan,16,10,IPS,87,71,1,11,0,0,Tidak Aktif,0,Lengkap,0,SMP,Pedagang,Ibu Rumah Tangga,3900000,3600000,Milik Sendiri,Permanen,PLN Mandiri,Sumur Pompa,5.0,Angkutan Umum,Wifi Rumah,0,0,0,Mandiri Kelas 3,0,0,Rendah,1,Tidak Layak,—
1939042955,Eka Rahayu,Perempuan,16,11,Kejuruan,76,68,1,16,0,0,Tidak Aktif,0,Lengkap,0,SD,PNS/TNI/Polri,Wiraswasta,800000,600000,Milik Sendiri,Semi Permanen,PLN Mandiri,PAM/PDAM,16.1,Motor Pribadi,Tidak Ada,1,1,0,Tidak Punya,0,10,Tinggi,8,Sangat Layak,PKH Prioritas
9703905715,Okta Wibowo,Perempuan,16,11,IPA,93,82,2,9,0,0,Tidak Aktif,1,Lengkap,2,SMA/SMK,Petani,Meninggal,2300000,1900000,Milik Sendiri,Permanen,PLN Mandiri,Sumur Pompa,0.4,Motor Pribadi,Wifi Rumah,0,0,0,Mandiri Kelas 2/1,0,3,Rendah,2,Perlu Ditinjau,Verifikasi Lapangan
7635473142,Hendra Lubis,Laki-laki,18,12,IPA,76,68,3,6,0,0,Aktif,0,Lengkap,0,SD,Buruh Harian,Wiraswasta,2600000,2700000,Milik Sendiri,Tidak Layak Huni,PLN Subsidi (450VA/900VA),Sumur Gali,1.6,Jalan Kaki,Tidak Ada,0,0,0,PBI (Gratis),0,7,Sedang,5,Layak,Bansos Daerah
6241752544,Tono Wahyudi,Perempuan,15,9,-,76,85,0,7,0,0,Tidak Aktif,0,Yatim,0,S2/S3,Petani,Ibu Rumah Tangga,1200000,1100000,Milik Sendiri,Permanen,PLN Subsidi (450VA/900VA),Sumur Gali,2.5,Motor Pribadi,Paket Data,0,0,0,PBI (Gratis),1,6,Sedang,7,Layak,Bansos Daerah
7825844140,Putri Santoso,Perempuan,18,11,Kejuruan,88,85,0,6,0,0,Tidak Aktif,0,Lengkap,0,D3/S1,Tidak Bekerja,PNS,1300000,1300000,Sewa/Kontrak,Permanen,PLN Subsidi (450VA/900VA),Sumur Gali,11.1,Sepeda,Tidak Ada,0,0,0,Mandiri Kelas 2/1,1,6,Sedang,4,Perlu Ditinjau,Verifikasi Lapangan
4460967357,Haris Siregar,Laki-laki,18,12,Kejuruan,84,55,4,16,0,0,Aktif,1,Lengkap,4,SMP,Wiraswasta,Petani,2600000,2050000,Milik Sendiri,Permanen,PLN Subsidi (450VA/900VA),Sumur Gali,0.7,Diantar Ortu,Paket Data,0,0,0,PBI (Gratis),0,7,Sedang,4,Perlu Ditinjau,Verifikasi Lapangan
8293453178,Indah Lubis,Laki-laki,14,8,-,100,87,0,11,0,0,Tidak Aktif,1,Cerai,3,SMA/SMK,Pedagang,Ibu Rumah Tangga,800000,850000,Milik Sendiri,Semi Permanen,PLN Mandiri,PAM/PDAM,17.1,Sepeda,Paket Data,0,0,0,Mandiri Kelas 3,0,10,Tinggi,7,Layak,Bansos Daerah
6756332150,Haris Hidayat,Laki-laki,15,9,-,66,53,3,16,1,3,Tidak Aktif,1,Lengkap,1,D3/S1,Buruh Harian,Petani,2900000,3500000,Milik Sendiri,Permanen,Nebeng Tetangga,Sumur Gali,3.4,Diantar Ortu,Wifi Rumah,1,1,1,Tidak Punya,0,11,Tinggi,3,Perlu Ditinjau,Verifikasi Lapangan
1667779376,Rendra Hidayat,Laki-laki,17,11,IPA,85,88,0,8,0,0,Aktif,0,Cerai,2,SMA/SMK,Tidak Bekerja,Ibu Rumah Tangga,1000000,850000,Numpang Keluarga,Semi Permanen,PLN Mandiri,Sumur Gali,2.8,Angkutan Umum,Wifi Rumah,1,0,0,Mandiri Kelas 2/1,0,5,Sedang,7,Layak,Bansos Daerah
2445662585,Lina Susanto,Perempuan,14,7,-,96,99,1,1,0,0,Tidak Aktif,0,Lengkap,1,SD,Buruh Harian,Buruh Harian,5100000,5050000,Sewa/Kontrak,Tidak Layak Huni,PLN Subsidi (450VA/900VA),PAM/PDAM,2.5,Motor Pribadi,Paket Data,0,0,0,PBI (Gratis),0,3,Rendah,4,Perlu Ditinjau,Verifikasi Lapangan
5693307665,Hendra Lestari,Laki-laki,13,8,-,77,84,4,8,0,0,Aktif,0,Lengkap,2,SMP,Petani,Ibu Rumah Tangga,14200000,12000000,Sewa/Kontrak,Tidak Layak Huni,Nebeng Tetangga,PAM/PDAM,2.0,Motor Pribadi,Paket Data,0,0,0,PBI (Gratis),0,4,Rendah,4,Perlu Ditinjau,Verifikasi Lapangan
5710360983,Agus Kurniawan,Laki-laki,15,8,-,73,44,4,25,1,3,Aktif,1,Lengkap,2,D3/S1,PNS/TNI/Polri,Buruh Harian,1100000,950000,Sewa/Kontrak,Permanen,Nebeng Tetangga,Sungai/Tadah Hujan,7.7,Diantar Ortu,Tidak Ada,0,0,0,PBI (Gratis),0,15,Tinggi,4,Perlu Ditinjau,Verifikasi Lapangan
8934927891,Yoga Harahap,Perempuan,18,12,Kejuruan,74,86,1,1,0,2,Aktif,0,Cerai,1,SMA/SMK,Tidak Bekerja,Pedagang,3300000,3450000,Milik Sendiri,Permanen,PLN Mandiri,Sumur Gali,1.1,Diantar Ortu,Paket Data,0,0,0,PBI (Gratis),0,3,Rendah,2,Perlu Ditinjau,Verifikasi Lapangan
7887950851,Ilham Utomo,Laki-laki,14,8,-,66,100,0,2,1,2,Tidak Aktif,0,Cerai,0,SMA/SMK,Petani,Wiraswasta,1200000,900000,Milik Sendiri,Semi Permanen,PLN Mandiri,Sumur Gali,4.1,Jalan Kaki,Tidak Ada,0,0,0,Mandiri Kelas 2/1,0,10,Tinggi,5,Layak,Bansos Daerah
